"","x"
"1480",35.03
"1481",35.03
"1482",35.03
"1483",35.03
"1484",35.03
"1485",35.03
"1486",35.03
"1487",35.03
"1488",35.03
"1489",35.03
"1490",35.03
"1491",35.03
"1492",35.03
"1493",35.03
"1494",35.03
"1495",35.03
"1496",1.45958333333333
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",0
"1503",0
"1504",0
"1505",0
"1506",0
"1507",0
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",0
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",0
"1521",0
"1522",0
"1523",0
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0.0084
"1533",0.0257692307692308
"1534",0.03
"1535",0.03
"1536",0.03
"1537",0.03
"1538",0.03
"1539",0.03
"1540",0.03
"1541",0.03
"1542",0.03
"1543",0.03
"1544",0.03
"1545",0.03
"1546",0.03
"1547",0.03
"1548",0.03
"1549",0.03
"1550",0.03
"1551",0.03
"1552",0.0539285714285714
"1553",0.101428571428571
"1554",0.1168
"1555",0.1284
"1556",0.1392
"1557",0.14
"1558",0.14
"1559",0.14
"1560",0.14
"1561",0.14
"1562",0.14
"1563",0.14
"1564",0.14
"1565",0.14
"1566",0.14
"1567",0.14
"1568",0.14
"1569",0.14
"1570",0.14
"1571",0.14
"1572",0.1476
"1573",0.15
"1574",0.1572
"1575",0.16
"1576",0.310862068965517
"1577",0.53
"1578",0.53
"1579",0.53
"1580",0.53
"1581",0.53
"1582",0.53
"1583",0.53
"1584",0.53
"1585",0.53
"1586",0.53
"1587",0.684583333333333
"1588",1.06
"1589",1.06
"1590",0.611538461538462
"1591",0.53
"1592",0.53
"1593",0.53
"1594",0.53
"1595",0.53
"1596",0.53
"1597",0.547647058823529
"1598",0.56
"1599",0.581851851851852
"1600",0.59
"1601",0.59
"1602",0.59
"1603",0.59
"1604",0.59
"1605",0.59
"1606",0.619285714285714
"1607",0.63
"1608",0.63
"1609",0.63
"1610",0.63
"1611",0.63
"1612",0.63
"1613",0.63
"1614",0.63
"1615",0.63
